"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P41_5",0.669,0.938,0.302,0.629,0.696,1,1,0.096,1,0.813,1,1,1,1,1,0.747,0.702,0.209,0.763,0.852,0.368,0.4,0.885,1,0.967,1,0.94,1,0.028,0.759,0.89,0.49,0.362,0.833,0.495,0.847,0.749,1,1,1,1,0.993,0.271,0.117,0.138,0.419,NA,0.028,0.495,0.069,1,0.628,0.27,0.184,0.797,1,1,0.317,0.116,0.069,0.715,0.146
"P41_6",0.879,1,0.131,0.547,0.467,0.478,0.532,0.924,0.462,1,1,0.756,0.603,1,0.492,1,0.05,0.753,0.769,0.309,0.305,0.861,1,0.439,0.83,0.397,0.179,0.447,0.527,0.265,1,0.797,0.802,0.589,0.589,0.621,0.788,0.077,0.614,0.478,1,0.239,0.902,0.247,0.076,0.111,0.028,NA,0.007,0.265,0.621,0.526,1,0.559,1,0.326,0.603,0.321,0.284,0.265,0.237,0.024
"P41_7",0.531,0.075,0.664,0.676,0.153,0.378,0.079,0.222,0.228,0.702,0.065,0.689,1,1,0.168,0.821,0.044,0.437,0.222,0.006,0.084,0.378,0.833,0.181,1,0.34,0.84,0.909,0.79,0.246,0.709,0.218,0.317,0.151,1,0.118,0.538,0.79,0.103,0.799,0.649,0.613,0.338,1,0.003,0.016,0.495,0.007,NA,0.026,0.597,0,0.779,0.682,0.251,0.197,0.923,0.852,0.01,0.026,0.063,0.34
"P41_8",0.183,0.97,0.01,0.243,0.347,0.437,0.596,0.309,0.774,0.483,1,0.124,1,1,0.708,1,1,0.477,0.084,0.157,0.186,0.437,0.759,0.278,0.868,0.987,0.116,0.688,1,0.883,0.414,0.847,0.641,0.848,0.848,0.2,0.168,0.666,0.142,0.775,0.961,0.369,0.002,0.219,0.291,0.005,0.069,0.265,0.026,NA,0.169,0.046,0.499,0.827,0.132,0.918,1,1,0.438,0.501,0.689,0.987
"P45_1",0.94,0.918,0.833,0.449,0.572,0.816,0.603,0.264,1,0.461,1,0.077,0.311,0.65,0.971,0.025,1,0.865,0.209,0.575,0.139,0.42,1,1,0.187,0.785,1,0.139,0.808,0.401,1,0.145,0.725,0.293,0.118,0.336,0.554,0.808,0.784,0.167,1,0.523,0.046,0.024,0.715,0.784,1,0.621,0.597,0.169,NA,0.738,0.115,0.48,0.645,0.379,0.118,0.787,1,0.401,0.332,0.234
"P45_2",0.064,0.575,0.106,0.128,0.703,1,0.076,0.237,0.256,1,1,0.016,0.491,1,0.271,0.502,0.028,0.519,0.004,0.048,0.294,0.607,1,0.304,1,0.984,0.04,0.244,0.185,0.739,1,0.161,0.477,0.037,0.268,0.433,0.022,0.452,1,0.269,1,0.864,0.006,0.138,0,0.09,0.628,0.526,0,0.046,0.738,NA,0.066,0.432,0.192,0.018,0.387,0.55,0,0.454,0.031,0.682
"P45_3",0.994,0.28,0.91,0.859,0.202,1,0.201,1,0.095,0.702,1,0.007,0.613,1,0.608,0.4,0.649,0.852,0.082,0.11,0.866,1,1,1,0.334,0.962,1,0.909,0.589,0.499,0.799,0.531,0.039,1,0.046,0.115,0.183,1,0.493,0.131,1,0.268,0.138,0.708,0.127,0.493,0.27,1,0.779,0.499,0.115,0.066,NA,0.593,0.79,1,0.613,0.082,0.394,0.033,0.012,0.294
"P46_1",0.65,0.288,0.023,0.303,0.993,1,1,1,0.038,0.812,1,0.002,0.899,1,1,0.259,1,0,0.395,0.675,0.568,1,0.018,0.954,1,0.487,0.54,1,0.001,0.856,0.345,0.521,0.096,0.682,0.95,0.255,0.366,0.454,0.366,0.67,0.721,1,0.537,1,0.012,0.709,0.184,0.559,0.682,0.827,0.48,0.432,0.593,NA,1,0.263,0.105,0.104,0.175,0.327,0.685,0.169
"P46_2",0.613,0.262,0.386,0.571,0.506,1,0.965,0.745,0.884,0.563,1,0.126,0.663,0.215,0.534,0.076,0.108,0.282,0.284,0.051,0.075,0.548,1,0.371,0.144,0.13,0.606,0.442,0.261,1,1,0.072,0.008,0.037,0.251,0.373,0.281,1,0.159,0.664,0.557,1,0.61,1,0.001,0.441,0.797,1,0.251,0.132,0.645,0.192,0.79,1,NA,0.021,0.153,0.779,0.251,1,0.133,0.167
"P46_3",0.722,0.884,0.752,0.495,1,1,0.053,0.389,0.271,0.654,0.936,0.076,1,0.802,0.27,0.933,0.469,0.638,0.997,0.287,0.893,0.33,0.784,0.033,1,0.078,0.887,0.936,0.851,0.125,1,0.714,0.59,0.197,1,0.379,0.369,1,0.126,0.134,0.621,0.242,0.874,0.362,0.089,0.022,1,0.326,0.197,0.918,0.379,0.018,1,0.263,0.021,NA,0.242,0.345,0.064,0.291,0.832,0.834
"P46_4",0.342,0.996,0.371,0.72,0.735,0.21,0.854,0.497,0.121,0.86,0.041,0.011,0.862,1,0.781,0.003,0.332,0.218,0.605,0.342,0.328,0.21,1,0.711,0.238,0.126,0.693,0.823,0.603,1,0.945,0.193,0.574,1,1,1,0.735,0.743,0.73,0.466,0.74,1,0.942,0.529,0.987,0.73,1,0.603,0.923,1,0.118,0.387,0.613,0.105,0.153,0.242,NA,0.829,0.923,0.697,1,1
"P46_5",0.214,0.14,0.979,0.903,1,0.055,0.25,0.335,0.043,1,1,0.066,0.77,1,0.848,0.279,1,0.093,0.891,0.632,0.12,0.846,0.045,0.921,1,0.491,1,0.669,0.296,0.358,0.738,0.817,0.689,0.25,1,1,0.711,0.753,0.457,0.846,0.929,0.191,1,0.576,0.638,0.927,0.317,0.321,0.852,1,0.787,0.55,0.082,0.104,0.779,0.345,0.829,NA,0.852,0.358,0.277,0.266
"P47_1",0.023,0.547,0.224,0.155,0.153,0.317,0.079,0.84,0.626,0.644,0.909,0.358,1,1,0.665,0.018,0.044,0.208,0.205,0.024,0.754,0.131,1,0.877,0.986,0.65,0.001,0.065,0.06,0.438,0.799,0.049,0.433,0.388,0.388,1,0.02,1,0.93,0.317,1,0.613,0.638,0.309,0,0.016,0.116,0.284,0.01,0.438,1,0,0.394,0.175,0.251,0.064,0.923,0.852,NA,0.208,0.17,1
"P47_2",0.101,1,0.097,0.061,0.162,1,0.898,1,0.133,1,0.287,0.124,0.159,0.107,0.408,0.227,0.041,0.609,0.731,0.157,0.449,0.775,0.654,0.132,0.525,0.405,0.309,0.287,0.666,1,0.437,0.761,0.043,0.438,0.438,0.009,0.092,0.073,0.001,0.016,0.273,1,0.285,0.219,0.918,0.142,0.069,0.265,0.026,0.501,0.401,0.454,0.033,0.327,1,0.291,0.697,0.358,0.208,NA,0,0.093
"P47_3",0.033,0.548,0.321,0.406,0.047,0.49,0.924,1,1,0.428,0.272,0.217,0.011,0.445,0.146,0.182,0.298,0.277,0.397,0.375,0.359,1,0.694,0.971,0.489,0.901,0.053,0.272,0.062,0.672,0.876,0.843,0.584,0.69,1,0.021,0.127,1,0.375,0.148,0.992,1,0.08,0.189,0.49,1,0.715,0.237,0.063,0.689,0.332,0.031,0.012,0.685,0.133,0.832,1,0.277,0.17,0,NA,0
"P47_4",0.059,0.881,0.684,0.232,0.089,0.179,0.994,0.667,1,0.257,0.202,0.566,0.956,1,1,0.127,0.201,0.564,0.326,0.539,0.271,0.16,0.912,0.254,1,0.196,0.643,1,0.397,0.405,0.759,0.271,0.004,1,1,0.035,0.839,0.397,0.929,1,0.201,0.636,1,0.593,1,0.443,0.146,0.024,0.34,0.987,0.234,0.682,0.294,0.169,0.167,0.834,1,0.266,1,0.093,0,NA
